0,1,2,3,4,5,6,7,8,9,10
rolls/buns,napkins,,,,,,,,,
soda,specialty cheese,napkins,,,,,,,,
specialty bar,domestic eggs,,,,,,,,,
whipped/sour cream,other vegetables,flour,,,,,,,,
whole milk,dessert,,,,,,,,,
frankfurter,other vegetables,fruit/vegetable juice,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
hygiene articles,other vegetables,,,,,,,,,
coffee,bottled water,,,,,,,,,
frankfurter,other vegetables,ham,other vegetables,other vegetables,fruit/vegetable juice,rolls/buns,fruit/vegetable juice,rolls/buns,,
yogurt,hamburger meat,other vegetables,mustard,,,,,,,
spread cheese,coffee,domestic eggs,,,,,,,,
tropical fruit,waffles,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
tropical fruit,misc. beverages,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
chicken,pip fruit,,,,,,,,,
photo/film,onions,,,,,,,,,
fish,newspapers,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
ice cream,grapes,,,,,,,,,
bottled water,long life bakery product,root vegetables,mustard,,,,,,,
tropical fruit,soda,,,,,,,,,
sausage,detergent,,,,,,,,,
tropical fruit,soda,yogurt,root vegetables,yogurt,domestic eggs,white wine,photo/film,,,
sausage,whole milk,root vegetables,soft cheese,,,,,,,
brown bread,hair spray,,,,,,,,,
other vegetables,soda,,,,,,,,,
pork,pip fruit,,,,,,,,,
beef,ice cream,,,,,,,,,
sugar,dish cleaner,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
chicken,frozen dessert,,,,,,,,,
ham,dessert,yogurt,,,,,,,,
photo/film,whole milk,,,,,,,,,
frozen vegetables,salty snack,other vegetables,curd,hygiene articles,,,,,,
soda,other vegetables,soda,,,,,,,,
bottled water,shopping bags,waffles,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
zwieback,salty snack,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
rolls/buns,sugar,butter,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
frankfurter,other vegetables,sugar,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
citrus fruit,sliced cheese,napkins,,,,,,,,
liquor,whole milk,,,,,,,,,
beef,white bread,frozen potato products,,,,,,,,
hamburger meat,pet care,pastry,,,,,,,,
chicken,frozen vegetables,,,,,,,,,
seasonal products,whole milk,,,,,,,,,
pip fruit,soda,detergent,,,,,,,,
soda,pip fruit,,,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
canned beer,brown bread,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
pastry,dessert,,,,,,,,,
spread cheese,yogurt,soda,shopping bags,,,,,,,
whole milk,pastry,,,,,,,,,
sausage,whole milk,,,,,,,,,
whole milk,bottled water,waffles,,,,,,,,
oil,pickled vegetables,,,,,,,,,
specialty chocolate,onions,,,,,,,,,
root vegetables,sausage,cream cheese ,curd,UHT-milk,,,,,,
canned beer,canned beer,,,,,,,,,
zwieback,shopping bags,kitchen towels,,,,,,,,
ice cream,root vegetables,hygiene articles,,,,,,,,
whole milk,butter milk,domestic eggs,,,,,,,,
canned beer,canned beer,,,,,,,,,
beef,waffles,,,,,,,,,
canned beer,sugar,,,,,,,,,
pork,hamburger meat,,,,,,,,,
finished products,root vegetables,,,,,,,,,
specialty cheese,butter milk,,,,,,,,,
pork,processed cheese,,,,,,,,,
root vegetables,other vegetables,frozen vegetables,,,,,,,,
pastry,cream cheese ,,,,,,,,,
frankfurter,soda,,,,,,,,,
turkey,bottled water,,,,,,,,,
butter milk,shopping bags,baking powder,,,,,,,,
canned beer,hygiene articles,,,,,,,,,
grapes,long life bakery product,,,,,,,,,
hamburger meat,sausage,tropical fruit,other vegetables,white bread,bottled water,spread cheese,sugar,,,
pip fruit,pet care,bottled water,,,,,,,,
soap,yogurt,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
seasonal products,bottled beer,,,,,,,,,
white bread,butter,,,,,,,,,
whole milk,female sanitary products,,,,,,,,,
bottled beer,soda,candy,,,,,,,,
beverages,pickled vegetables,,,,,,,,,
whole milk,citrus fruit,shopping bags,white wine,soda,yogurt,,,,,
rolls/buns,curd,,,,,,,,,
canned beer,candy,,,,,,,,,
rolls/buns,semi-finished bread,dessert,yogurt,,,,,,,
whole milk,other vegetables,,,,,,,,,
other vegetables,rice,specialty fat,,,,,,,,
canned beer,canned beer,dessert,packaged fruit/vegetables,flour,meat spreads,,,,,
chicken,soda,,,,,,,,,
pip fruit,syrup,,,,,,,,,
sliced cheese,soda,oil,syrup,,,,,,,
pastry,soda,instant coffee,,,,,,,,
ice cream,napkins,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
tropical fruit,soda,margarine,napkins,,,,,,,
sausage,pip fruit,dish cleaner,,,,,,,,
beef,fruit/vegetable juice,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
butter,butter,,,,,,,,,
bottled beer,fruit/vegetable juice,fruit/vegetable juice,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
bottled water,soda,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
sausage,whole milk,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
bottled beer,dog food,oil,,,,,,,,
specialty bar,frozen meals,kitchen towels,whole milk,,,,,,,
frozen fish,whipped/sour cream,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
cream,shopping bags,,,,,,,,,
frankfurter,long life bakery product,sugar,,,,,,,,
finished products,whole milk,baking powder,,,,,,,,
chicken,cream cheese ,,,,,,,,,
pork,yogurt,napkins,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
bottled beer,other vegetables,butter,,,,,,,,
sausage,other vegetables,,,,,,,,,
specialty chocolate,pasta,soda,long life bakery product,,,,,,,
cream cheese ,misc. beverages,,,,,,,,,
root vegetables,nut snack,,,,,,,,,
tropical fruit,waffles,bottled beer,,,,,,,,
other vegetables,pot plants,,,,,,,,,
chocolate,yogurt,,,,,,,,,
salty snack,waffles,specialty cheese,,,,,,,,
pork,beverages,dishes,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
frankfurter,pip fruit,brown bread,,,,,,,,
rolls/buns,soda,,,,,,,,,
rolls/buns,napkins,,,,,,,,,
sugar,whole milk,fruit/vegetable juice,,,,,,,,
pork,whipped/sour cream,dishes,,,,,,,,
root vegetables,soda,waffles,,,,,,,,
misc. beverages,grapes,instant coffee,,,,,,,,
long life bakery product,other vegetables,,,,,,,,,
hamburger meat,organic sausage,,,,,,,,,
dog food,chewing gum,coffee,,,,,,,,
hamburger meat,cat food,,,,,,,,,
other vegetables,root vegetables,mayonnaise,,,,,,,,
citrus fruit,bottled water,white wine,rolls/buns,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
root vegetables,butter,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
bottled water,liquor (appetizer),,,,,,,,,
seasonal products,onions,,,,,,,,,
root vegetables,soda,,,,,,,,,
whole milk,salty snack,pip fruit,whole milk,,,,,,,
curd,detergent,,,,,,,,,
soda,canned beer,white bread,berries,,,,,,,
liquor,sweet spreads,,,,,,,,,
bottled water,long life bakery product,soda,,,,,,,,
liqueur,chocolate,,,,,,,,,
root vegetables,margarine,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
tropical fruit,hygiene articles,,,,,,,,,
curd cheese,red/blush wine,margarine,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
soda,margarine,soda,,,,,,,,
margarine,yogurt,,,,,,,,,
candy,other vegetables,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
whole milk,candy,,,,,,,,,
tropical fruit,meat,hard cheese,jam,,,,,,,
whole milk,whole milk,,,,,,,,,
cream cheese ,brown bread,,,,,,,,,
tropical fruit,salt,,,,,,,,,
chicken,misc. beverages,,,,,,,,,
liquor (appetizer),yogurt,specialty chocolate,rolls/buns,,,,,,,
frankfurter,pip fruit,rolls/buns,,,,,,,,
root vegetables,yogurt,,,,,,,,,
meat,rolls/buns,frozen potato products,,,,,,,,
sausage,newspapers,,,,,,,,,
root vegetables,berries,other vegetables,hygiene articles,white bread,whipped/sour cream,,,,,
bottled beer,other vegetables,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
bottled water,sparkling wine,,,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
sausage,pork,brown bread,waffles,whole milk,flower (seeds),oil,,,,
root vegetables,frozen vegetables,bottled water,cat food,,,,,,,
misc. beverages,long life bakery product,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
whole milk,bottled water,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
beef,bottled water,,,,,,,,,
canned beer,ham,,,,,,,,,
soda,root vegetables,,,,,,,,,
root vegetables,cleaner,,,,,,,,,
canned beer,chocolate,,,,,,,,,
onions,soda,,,,,,,,,
ham,bottled beer,,,,,,,,,
rolls/buns,mayonnaise,,,,,,,,,
beef,pip fruit,,,,,,,,,
tropical fruit,mustard,sliced cheese,,,,,,,,
herbs,brown bread,,,,,,,,,
specialty bar,rolls/buns,processed cheese,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
beverages,candles,,,,,,,,,
pip fruit,vinegar,misc. beverages,,,,,,,,
whole milk,fruit/vegetable juice,rolls/buns,,,,,,,,
dog food,processed cheese,,,,,,,,,
root vegetables,salty snack,whipped/sour cream,,,,,,,,
other vegetables,specialty chocolate,newspapers,,,,,,,,
sausage,pastry,soda,,,,,,,,
baking powder,butter,,,,,,,,,
rolls/buns,chewing gum,other vegetables,,,,,,,,
frozen vegetables,red/blush wine,,,,,,,,,
flour,bottled water,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
yogurt,frozen dessert,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
yogurt,whole milk,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
bottled beer,canned beer,,,,,,,,,
bottled water,chocolate,,,,,,,,,
rolls/buns,canned vegetables,,,,,,,,,
whole milk,whipped/sour cream,soda,,,,,,,,
onions,cat food,white wine,,,,,,,,
other vegetables,cat food,,,,,,,,,
napkins,cleaner,,,,,,,,,
frankfurter,frankfurter,tropical fruit,berries,,,,,,,
condensed milk,other vegetables,softener,,,,,,,,
whole milk,napkins,napkins,,,,,,,,
other vegetables,yogurt,,,,,,,,,
onions,grapes,,,,,,,,,
long life bakery product,onions,,,,,,,,,
frankfurter,curd,,,,,,,,,
butter,seasonal products,fruit/vegetable juice,,,,,,,,
tropical fruit,onions,whipped/sour cream,,,,,,,,
processed cheese,rolls/buns,oil,flour,,,,,,,
bottled beer,semi-finished bread,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
canned beer,hamburger meat,,,,,,,,,
rolls/buns,soda,,,,,,,,,
soda,spread cheese,,,,,,,,,
beverages,whole milk,,,,,,,,,
mayonnaise,salt,bottled water,,,,,,,,
yogurt,yogurt,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
frankfurter,whole milk,fruit/vegetable juice,candy,,,,,,,
chicken,margarine,,,,,,,,,
rolls/buns,UHT-milk,,,,,,,,,
red/blush wine,cream cheese ,,,,,,,,,
butter,sweet spreads,sliced cheese,,,,,,,,
pip fruit,berries,,,,,,,,,
chicken,butter,rolls/buns,shopping bags,soda,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
domestic eggs,whole milk,onions,misc. beverages,,,,,,,
yogurt,long life bakery product,newspapers,,,,,,,,
whole milk,UHT-milk,canned beer,whole milk,coffee,house keeping products,other vegetables,pip fruit,,,
nut snack,bottled water,,,,,,,,,
bottled beer,sugar,popcorn,,,,,,,,
ice cream,specialty chocolate,,,,,,,,,
whole milk,whole milk,,,,,,,,,
turkey,domestic eggs,,,,,,,,,
other vegetables,dessert,,,,,,,,,
other vegetables,meat spreads,specialty cheese,,,,,,,,
pip fruit,pork,brown bread,whole milk,,,,,,,
oil,margarine,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
dessert,canned beer,specialty chocolate,,,,,,,,
pastry,chewing gum,,,,,,,,,
brown bread,rolls/buns,cat food,pastry,,,,,,,
bottled water,other vegetables,spread cheese,yogurt,specialty bar,,,,,,
frankfurter,pip fruit,hygiene articles,,,,,,,,
root vegetables,rice,,,,,,,,,
canned vegetables,chocolate marshmallow,,,,,,,,,
coffee,UHT-milk,,,,,,,,,
coffee,cling film/bags,,,,,,,,,
curd,cream cheese ,nut snack,chocolate marshmallow,yogurt,female sanitary products,,,,,
pastry,canned beer,mustard,yogurt,,,,,,,
white wine,domestic eggs,,,,,,,,,
meat,onions,whole milk,whole milk,,,,,,,
canned beer,root vegetables,pudding powder,processed cheese,,,,,,,
sausage,salad dressing,,,,,,,,,
oil,cream cheese ,white bread,,,,,,,,
bottled water,cream cheese ,curd,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
liver loaf,bottled beer,,,,,,,,,
sausage,margarine,,,,,,,,,
pip fruit,butter,,,,,,,,,
whole milk,whole milk,,,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
whole milk,onions,pickled vegetables,,,,,,,,
UHT-milk,whipped/sour cream,,,,,,,,,
roll products ,canned vegetables,,,,,,,,,
chicken,butter,,,,,,,,,
specialty chocolate,herbs,,,,,,,,,
pork,frozen meals,margarine,dessert,,,,,,,
whole milk,salty snack,,,,,,,,,
long life bakery product,semi-finished bread,,,,,,,,,
other vegetables,organic sausage,cling film/bags,,,,,,,,
tropical fruit,specialty cheese,,,,,,,,,
sausage,brown bread,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
sliced cheese,bottled water,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
tropical fruit,oil,,,,,,,,,
other vegetables,soda,,,,,,,,,
salty snack,canned beer,,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
beef,pasta,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
red/blush wine,liquor (appetizer),sauces,coffee,,,,,,,
other vegetables,soda,,,,,,,,,
rolls/buns,whipped/sour cream,bottled beer,,,,,,,,
turkey,white bread,,,,,,,,,
frankfurter,rolls/buns,shopping bags,margarine,,,,,,,
soda,flour,brown bread,,,,,,,,
turkey,frozen dessert,shopping bags,,,,,,,,
frozen meals,tidbits,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
beef,waffles,domestic eggs,,,,,,,,
other vegetables,dessert,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
candy,margarine,butter,,,,,,,,
whole milk,pip fruit,,,,,,,,,
butter,domestic eggs,,,,,,,,,
shopping bags,dessert,other vegetables,bottled water,margarine,,,,,,
brown bread,citrus fruit,,,,,,,,,
whole milk,grapes,chocolate,pot plants,,,,,,,
beef,other vegetables,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
condensed milk,rolls/buns,,,,,,,,,
other vegetables,packaged fruit/vegetables,,,,,,,,,
citrus fruit,soda,,,,,,,,,
seasonal products,salt,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
other vegetables,napkins,newspapers,,,,,,,,
pork,packaged fruit/vegetables,chocolate,,,,,,,,
chicken,root vegetables,whole milk,rolls/buns,,,,,,,
yogurt,chicken,liquor,chewing gum,soda,,,,,,
whole milk,beef,canned beer,,,,,,,,
berries,pip fruit,,,,,,,,,
beverages,soda,,,,,,,,,
pork,specialty cheese,,,,,,,,,
domestic eggs,beef,coffee,bottled beer,,,,,,,
pip fruit,soda,,,,,,,,,
root vegetables,beverages,,,,,,,,,
root vegetables,yogurt,bottled water,,,,,,,,
napkins,cake bar,,,,,,,,,
soda,beverages,rolls/buns,curd,,,,,,,
onions,frankfurter,cream cheese ,oil,,,,,,,
tropical fruit,berries,beef,butter milk,yogurt,sliced cheese,,,,,
pet care,photo/film,,,,,,,,,
soda,rolls/buns,,,,,,,,,
soda,pork,curd,Instant food products,,,,,,,
curd,newspapers,,,,,,,,,
tropical fruit,butter,hamburger meat,rolls/buns,soda,shopping bags,,,,,
UHT-milk,rice,newspapers,,,,,,,,
other vegetables,mustard,,,,,,,,,
finished products,pip fruit,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
whole milk,chocolate,,,,,,,,,
sausage,cake bar,,,,,,,,,
pip fruit,frozen meals,whole milk,rolls/buns,,,,,,,
soda,bottled water,hygiene articles,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
pip fruit,whole milk,napkins,,,,,,,,
root vegetables,rolls/buns,UHT-milk,packaged fruit/vegetables,,,,,,,
other vegetables,bottled beer,,,,,,,,,
domestic eggs,yogurt,,,,,,,,,
pastry,curd,bottled beer,,,,,,,,
herbs,newspapers,newspapers,rolls/buns,,,,,,,
newspapers,cake bar,,,,,,,,,
chewing gum,yogurt,,,,,,,,,
whole milk,margarine,,,,,,,,,
specialty bar,soda,,,,,,,,,
pip fruit,chocolate marshmallow,,,,,,,,,
pastry,domestic eggs,napkins,,,,,,,,
meat,canned fish,,,,,,,,,
pastry,bottled beer,,,,,,,,,
organic sausage,frozen meals,sugar,,,,,,,,
tropical fruit,root vegetables,candy,yogurt,rolls/buns,,,,,,
tropical fruit,yogurt,,,,,,,,,
whipped/sour cream,frozen meals,,,,,,,,,
frozen vegetables,pip fruit,hygiene articles,,,,,,,,
frankfurter,sparkling wine,,,,,,,,,
candles,whole milk,,,,,,,,,
sauces,shopping bags,,,,,,,,,
chicken,roll products ,,,,,,,,,
other vegetables,soda,,,,,,,,,
canned beer,yogurt,,,,,,,,,
photo/film,soda,,,,,,,,,
pip fruit,white bread,rolls/buns,,,,,,,,
root vegetables,canned beer,dessert,chewing gum,,,,,,,
pork,domestic eggs,,,,,,,,,
pudding powder,mustard,,,,,,,,,
cream cheese ,soda,,,,,,,,,
citrus fruit,bottled beer,ice cream,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
onions,canned beer,,,,,,,,,
citrus fruit,soda,berries,coffee,sugar,,,,,,
bottled water,beverages,,,,,,,,,
zwieback,UHT-milk,,,,,,,,,
soda,shopping bags,napkins,,,,,,,,
citrus fruit,roll products ,,,,,,,,,
artif. sweetener,whole milk,,,,,,,,,
pip fruit,pudding powder,,,,,,,,,
butter,waffles,,,,,,,,,
curd,yogurt,,,,,,,,,
beef,white bread,,,,,,,,,
cat food,canned vegetables,,,,,,,,,
UHT-milk,herbs,newspapers,,,,,,,,
whole milk,shopping bags,newspapers,,,,,,,,
whole milk,liver loaf,yogurt,fruit/vegetable juice,,,,,,,
sausage,cream cheese ,,,,,,,,,
long life bakery product,salty snack,,,,,,,,,
beef,tropical fruit,,,,,,,,,
chocolate,margarine,bottled water,soda,,,,,,,
butter,canned beer,,,,,,,,,
candy,cake bar,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
hair spray,chocolate,rolls/buns,,,,,,,,
tropical fruit,flour,,,,,,,,,
dessert,other vegetables,long life bakery product,,,,,,,,
sausage,frozen potato products,,,,,,,,,
bottled water,whole milk,rolls/buns,,,,,,,,
frozen meals,napkins,,,,,,,,,
brown bread,whole milk,frozen vegetables,frozen meals,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
spread cheese,specialty cheese,dish cleaner,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
frozen dessert,bottled water,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
whole milk,Instant food products,pip fruit,canned beer,,,,,,,
cling film/bags,coffee,,,,,,,,,
brown bread,liquor,,,,,,,,,
dessert,cream cheese ,,,,,,,,,
sausage,baking powder,canned beer,brandy,white bread,curd,bottled beer,canned beer,,,
chicken,salt,,,,,,,,,
hamburger meat,hygiene articles,,,,,,,,,
sausage,waffles,,,,,,,,,
berries,canned fish,,,,,,,,,
soda,other vegetables,,,,,,,,,
margarine,domestic eggs,,,,,,,,,
dog food,pork,,,,,,,,,
other vegetables,soda,,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
rolls/buns,soda,,,,,,,,,
specialty bar,pastry,,,,,,,,,
beverages,red/blush wine,,,,,,,,,
other vegetables,soda,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
mustard,soda,,,,,,,,,
dessert,whole milk,waffles,,,,,,,,
grapes,whole milk,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
butter,soft cheese,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
canned beer,pastry,,,,,,,,,
newspapers,soda,canned beer,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
flower soil/fertilizer,tropical fruit,,,,,,,,,
whole milk,frozen vegetables,soda,UHT-milk,,,,,,,
soda,citrus fruit,rolls/buns,,,,,,,,
waffles,flour,,,,,,,,,
napkins,pastry,,,,,,,,,
pork,white bread,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
whole milk,bottled water,,,,,,,,,
bottled beer,chicken,baking powder,curd,,,,,,,
frankfurter,other vegetables,,,,,,,,,
long life bakery product,whole milk,,,,,,,,,
long life bakery product,waffles,,,,,,,,,
canned beer,grapes,,,,,,,,,
root vegetables,citrus fruit,whole milk,chewing gum,,,,,,,
whole milk,frozen fish,,,,,,,,,
whole milk,pastry,margarine,pastry,,,,,,,
rolls/buns,brown bread,,,,,,,,,
chicken,margarine,long life bakery product,,,,,,,,
whole milk,dessert,,,,,,,,,
whole milk,brandy,brown bread,,,,,,,,
canned beer,bottled beer,pip fruit,candy,,,,,,,
beef,turkey,grapes,shopping bags,sliced cheese,bottled water,,,,,
kitchen towels,bottled beer,,,,,,,,,
tropical fruit,bottled water,long life bakery product,,,,,,,,
soda,soda,,,,,,,,,
frozen meals,frozen meals,,,,,,,,,
meat,house keeping products,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
canned beer,grapes,bottled beer,yogurt,,,,,,,
whole milk,brown bread,pastry,dessert,,,,,,,
soda,shopping bags,,,,,,,,,
long life bakery product,waffles,,,,,,,,,
soft cheese,specialty cheese,,,,,,,,,
chewing gum,cake bar,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
beef,pip fruit,,,,,,,,,
condensed milk,bottled water,bottled beer,,,,,,,,
brown bread,salt,,,,,,,,,
dessert,yogurt,,,,,,,,,
hamburger meat,soda,,,,,,,,,
whole milk,bottled water,,,,,,,,,
chicken,flower (seeds),,,,,,,,,
white wine,ham,whole milk,coffee,bottled water,,,,,,
pork,semi-finished bread,,,,,,,,,
ice cream,yogurt,,,,,,,,,
canned beer,organic products,whole milk,frozen dessert,misc. beverages,,,,,,
pip fruit,pork,,,,,,,,,
whole milk,pork,other vegetables,domestic eggs,,,,,,,
soda,margarine,,,,,,,,,
tropical fruit,butter milk,,,,,,,,,
root vegetables,seasonal products,,,,,,,,,
liver loaf,other vegetables,,,,,,,,,
sausage,liquor (appetizer),coffee,,,,,,,,
margarine,napkins,,,,,,,,,
newspapers,long life bakery product,napkins,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
canned vegetables,fish,,,,,,,,,
whole milk,whole milk,,,,,,,,,
yogurt,mustard,,,,,,,,,
frozen meals,brown bread,other vegetables,curd cheese,,,,,,,
yogurt,pot plants,,,,,,,,,
sausage,pasta,,,,,,,,,
root vegetables,canned fish,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
root vegetables,soda,long life bakery product,,,,,,,,
cream cheese ,toilet cleaner,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
liqueur,yogurt,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
sausage,finished products,whole milk,yogurt,pastry,sliced cheese,onions,chewing gum,,,
frozen vegetables,other vegetables,,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
canned beer,margarine,,,,,,,,,
canned beer,white bread,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
whole milk,ice cream,,,,,,,,,
sliced cheese,root vegetables,,,,,,,,,
instant coffee,shopping bags,,,,,,,,,
whole milk,detergent,,,,,,,,,
sausage,pickled vegetables,,,,,,,,,
frankfurter,meat,roll products ,pip fruit,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
other vegetables,other vegetables,waffles,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
soda,red/blush wine,,,,,,,,,
tropical fruit,cat food,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
rolls/buns,canned vegetables,cat food,,,,,,,,
sliced cheese,dessert,cream cheese ,,,,,,,,
tropical fruit,whole milk,shopping bags,,,,,,,,
pickled vegetables,bottled water,,,,,,,,,
chicken,domestic eggs,white bread,,,,,,,,
yogurt,coffee,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
misc. beverages,bottled water,mustard,,,,,,,,
canned beer,ice cream,,,,,,,,,
sausage,napkins,,,,,,,,,
oil,curd,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pip fruit,tidbits,,,,,,,,,
pork,pastry,,,,,,,,,
sliced cheese,cat food,,,,,,,,,
oil,soda,,,,,,,,,
flour,tropical fruit,,,,,,,,,
grapes,berries,soda,condensed milk,waffles,nut snack,,,,,
citrus fruit,cling film/bags,fruit/vegetable juice,,,,,,,,
pip fruit,soda,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
pork,soda,other vegetables,ice cream,,,,,,,
root vegetables,whole milk,,,,,,,,,
beef,chicken,newspapers,organic products,chocolate,,,,,,
whole milk,soda,,,,,,,,,
chewing gum,hamburger meat,candy,coffee,,,,,,,
frozen vegetables,chicken,,,,,,,,,
beef,cream cheese ,,,,,,,,,
newspapers,tropical fruit,,,,,,,,,
citrus fruit,margarine,,,,,,,,,
root vegetables,soda,specialty bar,other vegetables,frozen vegetables,,,,,,
chicken,pork,brandy,,,,,,,,
domestic eggs,sugar,Instant food products,,,,,,,,
brown bread,canned beer,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
misc. beverages,fruit/vegetable juice,,,,,,,,,
chicken,whole milk,,,,,,,,,
UHT-milk,other vegetables,other vegetables,bottled water,,,,,,,
tropical fruit,frozen fish,,,,,,,,,
curd,rolls/buns,,,,,,,,,
curd,butter,,,,,,,,,
citrus fruit,soda,whipped/sour cream,,,,,,,,
other vegetables,yogurt,whipped/sour cream,napkins,,,,,,,
whipped/sour cream,sugar,brown bread,,,,,,,,
beef,whole milk,newspapers,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
white bread,popcorn,,,,,,,,,
dessert,dessert,flour,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
curd,liquor (appetizer),,,,,,,,,
margarine,canned fish,,,,,,,,,
whipped/sour cream,instant coffee,,,,,,,,,
bottled beer,cream cheese ,chocolate,,,,,,,,
ice cream,whole milk,,,,,,,,,
pork,shopping bags,bottled water,,,,,,,,
rolls/buns,yogurt,chicken,whole milk,,,,,,,
newspapers,shopping bags,,,,,,,,,
whole milk,beef,rolls/buns,mustard,,,,,,,
pork,whole milk,other vegetables,tidbits,coffee,,,,,,
soda,frozen meals,bottled beer,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
other vegetables,candy,,,,,,,,,
seasonal products,flower (seeds),,,,,,,,,
brown bread,whole milk,,,,,,,,,
canned beer,pastry,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
bathroom cleaner,other vegetables,,,,,,,,,
canned beer,frozen dessert,,,,,,,,,
pip fruit,butter,soda,,,,,,,,
root vegetables,pastry,,,,,,,,,
berries,other vegetables,,,,,,,,,
pork,canned beer,,,,,,,,,
turkey,whole milk,,,,,,,,,
